Gate Entry No,Truck No,Invoice No,In Date,In Time,Out Date,Out Time,Total,MGP-MGN,MGN-WBT,WBT-DOC,DOC-LDG/UNLDG,LDG/UNLDG-WBG,WBG-INV,INV-MGX,User
00000000006100007840,HR55T3719,9911112870,01-06-18,11:11,01-06-18,17:21,6:09,:01,:12,:06,3:13,:30,1:25,1:40,SECOPR1
00000000006100008911,GJ04X5688,9313700237,01-06-18,11:13,02-06-18,10:04,22:50,:01,:14,:12,7:54,5:18,6:08,13:37,SECOPR1
00000000000200002438,GJ06AV9308,9522100826,01-06-18,11:15,01-06-18,17:12,5:56,:01,:35,:18,2:58,,,1:43,SECOPR1
00000000006100008849,GJ18AT8395,9913108167,01-06-18,11:18,02-06-18,10:07,22:48,:01,:15,:07,9:39,7:04,7:21,12:29,SECOPR1
00000000000200002449,GJ06AV9233,9523101494,01-06-18,11:20,01-06-18,16:17,4:57,:01,:09,:30,2:20,,,:51,SECOPR1
00000000000200002352,GJ6VV6586,9522100827,01-06-18,11:22,01-06-18,17:29,6:07,:01,:11,:13,3:02,,,1:59,SECOPR1
00000000006100008500,HR67B1932,9913108165,01-06-18,11:31,01-06-18,21:52,10:21,:01,:10,:19,7:42,5:26,6:09,1:24,SECOPR1
00000000006100008225,UP78DN0575,9912108302,01-06-18,11:38,02-06-18,12:33,24:55,:01,:08,:09,11:15,8:54,9:15,12:59,SECOPR1
00000000006100008222,HR63D2016,9913108180,01-06-18,11:45,02-06-18,11:31,23:46,:01,:42,:25,13:17,3:40,7:37,5:22,SECOPR1
00000000006100008696,MH46AR7565,9912108300,01-06-18,11:50,01-06-18,22:56,11:06,:01,:06,:09,9:03,6:52,7:19,1:18,SECOPR1
00000000006100008011,HR46E0171,9912108310,01-06-18,11:58,02-06-18,11:35,23:37,:01,:33,:09,13:32,3:40,6:46,6:14,SECOPR1
00000000006100008928,MH40Y2385,9313700238,01-06-18,12:12,02-06-18,1:36,13:24,:01,:10,:36,8:17,:37,1:33,2:06,SECOPR1
00000000006100007833,HR67B3688,9911112891,01-06-18,12:15,01-06-18,22:13,9:57,:01,:47,:04,7:09,:11,:43,:58,SECOPR1
00000000006100007846,GJ16AU2848,9911112880,01-06-18,12:17,01-06-18,18:08,5:51,:01,:09,:32,3:35,:30,:08,:53,SECOPR1
00000000000200002470,GJ16W0999,9524102126,01-06-18,12:20,01-06-18,17:18,4:57,:01,:05,:45,2:26,,,:50,SECOPR1
00000000000200002471,GJ06AX0009,9524102125,01-06-18,12:22,01-06-18,17:16,4:53,:01,:19,:22,2:29,,,:57,SECOPR1
00000000006100007849,HR45B4788,9911112888,01-06-18,12:28,01-06-18,20:41,8:13,:01,:09,42:59,49:07,:15,:18,1:20,SECOPR1
00000000000200002350,GJ06AX0137,9522100828,01-06-18,12:30,01-06-18,17:26,4:56,:01,:07,:50,1:57,,,1:09,SECOPR1
00000000006100008087,GJ18AU7015,9913108170,01-06-18,12:32,02-06-18,9:39,21:06,:01,:26,:05,11:57,2:27,2:53,8:09,SECOPR1
00000000000200002110,GJ12Z3316,9522100829,01-06-18,12:34,01-06-18,17:00,4:26,:01,:12,:35,2:07,,,:40,SECOPR1
00000000000200002416,GJ06AV4964,9524102124,01-06-18,12:43,01-06-18,17:13,4:30,:01,:10,:22,2:15,,,:56,SECOPR1
00000000006100008699,GJ18AZ3681,9912108301,01-06-18,12:47,02-06-18,15:57,27:10,:01,:07,:04,7:34,1:19,1:35,16:26,SECOPR1
00000000000200002468,GJ06AX9090,9524102127,01-06-18,12:57,01-06-18,17:39,4:42,:01,:06,:37,2:33,,,1:03,SECOPR1
00000000006100008939,HR55R0796,9913108169,01-06-18,13:06,02-06-18,11:54,22:47,:01,:22,:15,11:08,2:13,2:39,10:32,SECOPR1
00000000006100008369,MH46BB6032,9911112896,01-06-18,13:15,02-06-18,11:55,22:40,:01,:30,:04,10:08,1:16,2:20,10:50,SECOPR1
00000000006100007764,GJ20V7754,9911112893,01-06-18,13:24,02-06-18,2:22,12:58,:01,:32,:04,10:09,1:25,2:07,1:28,SECOPR1
00000000006100008772,MH04GR2781,9912108303,01-06-18,13:27,02-06-18,12:02,22:35,:01,:10,:06,10:02,1:04,2:14,11:05,SECOPR1
00000000006100008938,GJ05BX5263,9911112898,01-06-18,13:32,02-06-18,10:54,21:21,:01,:09,:06,9:51,:58,2:27,9:43,SECOPR1
00000000006100008789,TN52J2698,9912108297,01-06-18,13:43,01-06-18,21:56,8:13,:01,:06,:07,6:11,:19,:32,:53,SECOPR1
00000000006100008013,HR63B0090,9912108304,01-06-18,13:45,02-06-18,9:41,19:56,:01,:08,:04,10:05,1:18,2:15,8:39,SECOPR1
00000000000200002112,GJ12AU6770,9522100830,01-06-18,13:51,01-06-18,17:37,3:45,:01,:08,:13,2:21,,,:47,SECOPR1
00000000006100008235,KA562779,9312700019,01-06-18,13:57,02-06-18,10:18,20:20,:01,:11,:05,10:34,1:59,2:29,8:58,SECOPR1
00000000000200002113,GJ12Z0728,9522100835,01-06-18,13:59,02-06-18,19:16,29:16,:01,:06,:16,3:52,,,24:25,SECOPR1
00000000006100008857,RJ40GA2148,9511100245,01-06-18,14:01,02-06-18,13:02,23:01,:01,:10,:05,12:41,5:57,8:22,7:38,SECOPR1
00000000000200002433,GJ12AY5760,9522100831,01-06-18,14:05,01-06-18,18:30,4:25,:01,:07,:23,2:53,,,:34,SECOPR1
00000000006100008639,MH43Y5833,9912108312,01-06-18,14:06,02-06-18,9:56,19:50,:01,:16,:04,13:12,3:34,5:38,4:10,SECOPR1
00000000000200002415,GJ06AV8431,9524102131,01-06-18,14:23,01-06-18,19:27,5:03,:01,:10,:26,3:02,,,:42,SECOPR1
00000000000200002286,GJ12BV6908,9524102132,01-06-18,14:35,01-06-18,19:49,5:14,:01,:39,1:45,1:56,,,:31,SECOPR1
00000000006100008027,RJ14GD6276,9913108179,01-06-18,14:36,02-06-18,9:32,18:55,:01,:07,:06,11:50,2:34,5:42,3:41,SECOPR1
00000000006100008647,GJ06AX8695,9913108176,01-06-18,14:42,02-06-18,9:24,18:41,:01,:13,:55,10:17,1:47,5:01,3:59,SECOPR1
00000000006100007507,GJ18AU7300,9911112900,01-06-18,14:45,02-06-18,9:58,19:12,:01,:28,:26,8:49,:21,1:27,8:20,SECOPR1
00000000000200002467,GJ15AT1232,9524102128,01-06-18,14:47,01-06-18,19:25,4:37,:01,:09,:18,2:29,,,:48,SECOPR1
00000000006100008801,RJ04GA6141,9911112895,01-06-18,14:52,02-06-18,8:20,17:28,:01,:09,:44,7:57,:25,:49,7:20,SECOPR1
00000000000200002444,GJ12BT6647,9522100832,01-06-18,14:54,01-06-18,19:22,4:28,:01,:23,:37,2:14,,,:35,SECOPR1
00000000006100008881,TN73P9013,9512100211,01-06-18,15:11,02-06-18,9:34,18:23,:01,:08,:19,10:45,2:06,4:40,4:34,SECOPR1
00000000006100008872,GJ03AW9416,9513100248,01-06-18,15:14,02-06-18,7:55,16:40,:01,:08,:37,10:24,2:02,4:07,3:23,SECOPR1
00000000006100008940,GJ03AX9936,9913108173,01-06-18,15:19,02-06-18,12:25,21:05,:01,:09,:14,10:47,2:14,4:20,7:45,SECOPR1
00000000000200002469,GJ06VV6399,9524102129,01-06-18,15:21,01-06-18,19:19,3:58,:01,:05,:21,2:04,,,:40,SECOPR1
00000000006100008529,RJ19GB5287,9913108174,01-06-18,15:23,02-06-18,10:22,18:59,:01,:14,:06,10:12,1:37,4:42,5:19,SECOPR1
00000000000200002466,GJ16X9802,9524102130,01-06-18,15:29,01-06-18,21:25,5:56,:01,:09,:21,2:03,,,2:43,SECOPR1
00000000006100008568,KA562181,9912108306,01-06-18,15:37,02-06-18,11:16,19:39,:01,:08,:09,9:35,1:08,1:47,9:05,SECOPR1
00000000006100008873,GJ10TV8945,9512100208,01-06-18,15:40,02-06-18,8:07,16:26,:01,:08,:06,9:44,1:16,1:44,5:58,SECOPR1
00000000006100008858,TN52J2166,9511100243,01-06-18,15:38,02-06-18,8:13,16:35,:01,:15,:36,9:14,4:49,5:10,6:01,20535
00000000006100008742,TN28AR5835,9912108307,01-06-18,15:49,02-06-18,11:41,19:51,:01,:13,:05,10:20,2:03,4:34,6:39,SECOPR1
00000000006100008947,GJ18AZ6390,9911112902,01-06-18,17:34,02-06-18,8:59,15:24,:01,:18,:09,10:05,3:24,4:00,4:14,SECOPR1
00000000000200002476,GJ12AY7047,9522100836,01-06-18,17:35,02-06-18,14:09,20:33,:01,:05,:11,17:30,,,2:10,SECOPR1
00000000006100008902,HR67B1984,9311700020,01-06-18,18:24,02-06-18,11:13,16:49,:01,:11,:17,10:45,2:44,3:31,4:45,SECOPR1
00000000006100008943,GJ07VW3928,9912108319,01-06-18,15:52,02-06-18,8:50,16:58,:01,:35,:12,13:02,:36,1:15,2:26,SECOPR1
00000000000200002353,OR15M8248,9522100834,01-06-18,15:54,01-06-18,19:34,3:40,:01,:06,:24,1:59,,,:45,SECOPR1
00000000006100008749,TN31BC4532,9912108308,01-06-18,16:09,02-06-18,7:58,15:48,:01,:08,:31,9:27,1:46,4:41,2:43,SECOPR1
00000000006100008579,UP78CT4258,9912108330,01-06-18,16:11,02-06-18,11:22,19:10,:01,:11,:15,15:53,7:36,7:59,2:25,SECOPR1
00000000006100008124,PB08DS5677,9913108185,01-06-18,16:10,02-06-18,13:12,21:02,:01,:24,:16,13:01,5:24,6:49,5:49,20535
00000000006100008865,GJ18AX5580,9512100207,01-06-18,16:22,02-06-18,9:11,16:48,:01,:09,:07,8:41,:51,1:09,7:30,SECOPR1
00000000006100008427,MH04GR3002,9911112921,01-06-18,16:31,02-06-18,11:47,19:16,:01,:12,:11,9:41,2:02,8:49,2:22,SECOPR1
00000000006100008571,MH44K2577,9911112904,01-06-18,16:35,02-06-18,12:36,20:00,:01,:12,:06,9:42,2:05,5:18,6:43,SECOPR1
00000000006100008138,MP09HH3999,9512100210,01-06-18,16:45,02-06-18,13:09,20:23,:01,:08,:12,10:50,3:22,4:00,8:33,SECOPR1
00000000006100008499,HR67B1961,9311700021,01-06-18,16:57,02-06-18,13:36,20:38,:01,:08,:08,7:44,7:33,:34,4:27,SECOPR1
00000000000200002145,GJ12AT7974,9523101495,01-06-18,16:59,02-06-18,14:17,21:18,:01,:08,:25,17:46,,,2:08,SECOPR1
00000000006100008545,MH18BA7794,9912108329,01-06-18,17:05,02-06-18,15:26,22:20,:01,:06,:47,13:57,5:50,6:17,7:00,SECOPR1
00000000006100009023,GJ05BX5073,9913108178,01-06-18,17:18,02-06-18,10:31,17:13,:01,:07,:14,9:02,2:08,5:12,4:42,SECOPR1
00000000006100008770,UP78DN8606,9912108317,01-06-18,17:26,02-06-18,11:28,18:02,:01,:09,:12,10:27,3:39,5:38,5:13,SECOPR1
00000000006100007838,RJ27GA5044,9911112909,01-06-18,18:33,02-06-18,11:09,16:35,:01,:08,:05,9:36,3:28,5:23,4:48,SECOPR1
00000000006100009164,GJ18AU7299,9913108200,01-06-18,23:38,02-06-18,17:38,18:00,:01,:17,:16,13:40,1:28,1:47,3:26,SECOPR1
00000000006100008994,GJ19X8666,9913108199,01-06-18,23:45,02-06-18,16:54,17:08,:01,:36,:21,13:12,1:29,1:42,2:44,SECOPR1
00000000006100009136,TN52J3279,9912108352,01-06-18,23:52,03-06-18,7:04,31:12,:01,1:06,:07,18:35,4:44,4:54,11:11,SECOPR1
00000000006100008020,HR74A6519,9913108209,02-06-18,0:01,02-06-18,17:56,17:55,:01,:34,:26,15:20,1:29,1:41,1:20,SECOPR1
00000000006100009167,GJ10Z9345,9911112933,02-06-18,0:04,02-06-18,20:52,20:47,:01,:15,:21,12:39,:57,1:55,6:30,SECOPR1
00000000006100008979,GJ18AZ2781,9912108351,02-06-18,0:07,02-06-18,22:40,22:33,:01,1:15,:08,17:03,3:36,4:15,3:25,SECOPR1
00000000006100007985,GJ27V8289,9911112939,02-06-18,0:09,02-06-18,17:29,17:20,:01,:19,:19,15:37,1:40,1:51,:51,SECOPR1
00000000006100008945,GJ15UU0630,9911112936,02-06-18,0:10,02-06-18,16:45,16:34,:01,:15,:16,14:10,2:26,2:58,1:19,SECOPR1
00000000006100009180,GJ03AW8509,9913108208,02-06-18,0:12,02-06-18,17:15,17:02,:01,:21,:22,14:33,:42,:52,1:34,SECOPR1
00000000006100009030,MH40BG4951,9913108215,02-06-18,0:19,02-06-18,21:27,21:07,:01,:16,:24,17:23,3:36,3:51,2:47,SECOPR1
00000000006100008964,MH40BG5465,9913108217,02-06-18,0:21,03-06-18,5:40,29:18,:01,:23,8:58,8:43,:46,:59,10:59,SECOPR1
00000000006100009139,TN28BC5596,9911112940,02-06-18,0:23,02-06-18,18:09,17:45,:01,:21,:19,15:33,1:42,1:49,1:24,SECOPR1
00000000006100008679,HR677105,9911112935,02-06-18,0:28,02-06-18,17:16,16:48,:01,:24,:21,13:40,2:25,2:55,1:51,SECOPR1
00000000006100009137,TN28AQ9196,9912108354,02-06-18,0:33,02-06-18,20:54,20:20,:01,:23,:09,18:39,4:49,5:07,:49,SECOPR1
00000000006100009135,TN46V2207,9911112944,02-06-18,0:40,02-06-18,19:56,19:16,:01,:28,:08,16:23,5:11,5:19,2:06,SECOPR1
00000000006100008070,RJ02GB5202,9913108206,02-06-18,0:41,02-06-18,16:37,15:56,:01,:33,:07,14:04,2:57,3:06,1:00,SECOPR1
00000000006100009011,RJ33GA1952,9912108341,02-06-18,0:47,02-06-18,16:30,15:43,:01,:17,:06,12:22,:39,1:14,2:20,SECOPR1
00000000006100008503,GJ16AU2170,9911112942,02-06-18,0:57,02-06-18,18:35,17:38,:01,:11,6:50,9:33,:30,:45,:46,SECOPR1
00000000006100008922,MH48AG6616,9911112934,02-06-18,1:04,02-06-18,16:35,15:30,:01,:32,:05,13:32,:13,:22,1:11,SECOPR1
00000000006100008101,MP33H1705,9911112941,02-06-18,1:06,02-06-18,18:07,17:00,:01,:19,:06,15:27,2:02,2:08,:59,SECOPR1
00000000006100008800,GJ05BX5453,9912108347,02-06-18,1:10,02-06-18,19:16,18:06,:01,:23,:12,15:57,2:43,3:09,1:05,SECOPR1
00000000006100009087,GJ26T3983,9913108220,02-06-18,1:14,02-06-18,21:29,20:15,:01,:16,:04,17:28,4:05,4:15,2:13,SECOPR1
00000000006100008923,MH48AG6617,9912108344,02-06-18,1:17,02-06-18,18:33,17:15,:01,:23,:09,15:30,2:21,2:28,1:04,SECOPR1
00000000006100008965,MH40BG0465,9913108219,02-06-18,1:22,03-06-18,5:44,28:21,:01,:22,:08,16:33,1:48,2:00,11:02,SECOPR1
00000000006100008550,GJ18AZ2763,9913108212,02-06-18,1:25,02-06-18,18:26,17:00,:01,:17,:05,15:07,1:56,2:02,1:23,SECOPR1
00000000006100008590,NL01AB4002,9912108360,02-06-18,1:31,03-06-18,14:32,37:01,:01,:54,2:48,16:03,6:30,7:23,16:19,SECOPR1
00000000006100008446,NL01AB4003,9512100218,02-06-18,1:35,03-06-18,14:36,37:00,:01,1:03,2:39,15:54,6:23,7:22,16:24,SECOPR1
00000000006100008974,GJ18AZ4779,9912108345,02-06-18,1:36,02-06-18,18:31,16:54,:01,:44,2:58,12:03,2:28,2:34,1:01,SECOPR1
00000000006100008887,HR69C5614,9912108349,02-06-18,2:51,03-06-18,14:41,35:50,:01,:23,1:54,13:50,1:57,2:09,19:28,SECOPR1
00000000006100009028,GJ05BX5640,9912108321,01-06-18,17:45,02-06-18,10:57,17:11,:01,:15,:07,10:42,4:08,5:51,4:21,SECOPR1
00000000006100009044,GJ05BX6115,9912108322,01-06-18,17:48,02-06-18,10:43,16:55,:01,:17,:27,8:14,2:01,5:50,4:04,SECOPR1
00000000006100008697,MH04GR9835,9912108309,01-06-18,17:52,02-06-18,10:12,16:19,:01,:25,:07,7:38,1:18,4:31,4:54,SECOPR1
00000000006100009175,GJ19T1944,9912108336,01-06-18,17:55,02-06-18,14:30,20:35,:01,:18,:13,14:43,8:25,8:53,4:50,SECOPR1
00000000000200002369,GJ06AV9414,9523101496,01-06-18,17:56,02-06-18,14:40,20:43,:01,:10,:13,17:15,,,2:25,SECOPR1
00000000006100009183,GJ18AT9743,9911112912,01-06-18,17:58,02-06-18,9:48,15:50,:01,:11,:10,10:38,:35,1:32,2:40,SECOPR1
00000000006100008941,DN09Q9769,9912108313,01-06-18,18:00,02-06-18,8:36,14:35,:01,:08,:09,8:28,2:02,5:02,2:47,SECOPR1
00000000006100008565,KA563432,9911112905,01-06-18,18:15,02-06-18,9:08,14:52,:01,:07,:11,9:46,3:28,5:06,3:07,SECOPR1
00000000006100008543,GJ18AX6363,9913108189,01-06-18,18:17,02-06-18,17:08,22:51,:01,:10,:05,13:18,6:57,7:28,8:44,SECOPR1
00000000006100008706,GJ18AZ1863,9911112907,01-06-18,18:36,02-06-18,8:24,13:48,:01,:09,:05,11:10,3:08,3:17,2:11,SECOPR1
00000000006100008243,KA563433,9911112911,01-06-18,18:41,02-06-18,9:14,14:32,:01,:09,:12,10:02,2:10,3:32,2:44,SECOPR1
00000000006100008819,HR69B7867,9912108337,01-06-18,18:53,02-06-18,11:44,16:51,:01,:07,:26,14:05,6:33,6:42,2:01,SECOPR1
00000000006100008924,GJ18AU7287,9913108188,01-06-18,18:57,02-06-18,9:46,14:49,:01,:56,:09,10:19,3:16,4:45,1:53,SECOPR1
00000000006100008732,RJ27GC2500,9911112919,01-06-18,18:59,02-06-18,11:06,16:06,:01,:09,:17,13:23,5:47,6:19,1:43,SECOPR1
00000000006100008632,MH43BG3240,9911112913,01-06-18,19:15,02-06-18,12:11,16:56,:01,:08,:05,10:37,3:06,4:18,4:51,SECOPR1
00000000006100008832,GJ15UU0237,9911112917,01-06-18,19:22,02-06-18,14:44,19:21,:01,:21,:20,11:39,4:35,5:51,5:42,SECOPR1
00000000006100009178,GJ10Z7742,9913108172,01-06-18,19:24,02-06-18,8:00,12:36,:01,:07,:07,8:05,:46,1:38,3:22,SECOPR1
00000000006100009063,GJ15Z1734,9911112916,01-06-18,19:29,02-06-18,14:47,19:17,:01,:18,:17,11:42,4:42,5:15,6:24,SECOPR1
00000000006100009096,GJ20U4798,9911112918,01-06-18,19:33,02-06-18,15:00,19:27,:01,:06,:22,12:21,5:18,5:56,5:56,SECOPR1
00000000006100008115,HR69C9352,9912108326,01-06-18,19:49,02-06-18,10:34,14:44,:01,:59,:13,10:17,4:09,4:39,2:43,SECOPR1
00000000006100008008,HR63D8386,9913108196,01-06-18,19:51,02-06-18,12:17,16:25,:01,:45,:26,12:13,:38,1:07,2:29,SECOPR1
00000000006100008927,GJ04X5671,9312700020,01-06-18,20:04,02-06-18,17:43,21:38,:01,:27,:30,14:41,7:18,7:33,5:41,SECOPR1
00000000006100009101,TN54L8301,9911112923,01-06-18,20:05,02-06-18,14:14,18:08,:01,:52,:10,14:55,8:55,9:06,1:56,SECOPR1
00000000006100008776,MH04GR2027,9912108348,01-06-18,20:15,02-06-18,19:19,23:04,:01,:38,10:48,10:22,1:03,1:29,:47,SECOPR1
00000000006100009127,TN52L9892,9911112924,01-06-18,20:41,02-06-18,16:05,19:23,:01,:26,:35,14:37,7:48,7:58,3:33,SECOPR1
00000000006100009255,TN86A2283,9912108332,01-06-18,20:44,02-06-18,13:32,16:47,:01,:18,:25,10:59,4:01,4:31,4:32,SECOPR1
00000000006100008320,HR63D7112,9912108324,01-06-18,21:06,02-06-18,12:22,15:15,:01,:34,:04,9:39,2:52,3:13,4:34,SECOPR1
00000000006100007995,HR55X2177,9912108340,01-06-18,21:15,02-06-18,15:55,18:40,:01,:40,:12,14:08,7:39,7:54,3:23,SECOPR1
00000000006100008805,CG04LB9583,9913108181,01-06-18,21:20,02-06-18,15:38,18:17,:01,:38,:07,7:51,1:20,1:44,9:15,SECOPR1
00000000006100008882,TN52F3492,9512100214,01-06-18,21:26,02-06-18,17:19,19:53,:01,:59,:13,16:43,10:43,10:54,1:45,SECOPR1
00000000006100009132,TN52J1077,9912108342,01-06-18,21:32,02-06-18,17:06,19:34,:01,:56,:14,16:35,10:39,10:52,1:33,SECOPR1
00000000006100009031,CG04LR8806,9913108186,01-06-18,21:37,02-06-18,15:34,17:56,:01,:24,:08,7:57,2:03,3:39,7:48,SECOPR1
00000000006100008944,GJ19V6165,9913108193,01-06-18,21:44,02-06-18,12:49,15:04,:01,:34,:10,10:34,4:25,4:44,3:25,SECOPR1
00000000006100008935,TN52J6486,9911112927,01-06-18,21:49,02-06-18,16:08,18:18,:01,:15,:08,14:52,8:31,8:41,2:50,SECOPR1
00000000006100009134,TN25BE0345,9913108194,01-06-18,21:50,02-06-18,13:24,15:33,:01,1:03,:15,9:54,:39,1:09,3:45,SECOPR1
00000000006100008948,GJ18AZ9396,9913108182,01-06-18,22:09,02-06-18,8:29,10:19,:01,:13,:07,6:32,:58,3:00,1:22,SECOPR1
00000000006100009050,HR67A9965,9913108183,01-06-18,22:12,02-06-18,12:48,14:36,:01,:29,:06,6:34,:42,2:30,5:35,SECOPR1
00000000006100009193,GJ06AZ0334,9911112926,01-06-18,22:29,02-06-18,15:21,16:51,:01,:46,:19,13:22,4:19,4:28,2:11,SECOPR1
00000000006100008414,MP09HH6299,9913108198,01-06-18,22:43,02-06-18,14:20,15:37,:01,:10,:18,12:41,:12,:12,2:01,SECOPR1
00000000006100009122,TN88Z7576,9912108339,01-06-18,22:45,02-06-18,15:24,16:38,:01,:17,:07,12:39,7:04,7:12,3:25,SECOPR1
00000000006100008395,RJ19GF2690,9913108191,01-06-18,22:49,02-06-18,13:21,14:32,:01,:18,:09,8:53,:17,:36,4:14,SECOPR1
00000000006100008866,MP33H1407,9512100213,01-06-18,23:09,02-06-18,12:58,13:48,:01,:24,:09,7:47,1:00,:35,3:49,SECOPR1
00000000006100009250,TN52H5744,9913108204,01-06-18,23:15,02-06-18,16:40,17:25,:01,:36,:18,13:58,1:43,2:00,2:14,SECOPR1
